id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20241004,Oporto Wood Sensations I - Duplex with balcony,143286849,Ana & Márcia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14475,-8.60476,Entire home/apt,84,3,179,2022-08-24,2.89,2,121,36,52731/AL
20487067,Casa da Mata - Beach House Garden & private space,146090367,Joana,ESPINHO,Espinho,41.00146,-8.64578,Entire home/apt,98,2,4,2022-07-16,0.08,1,317,2,53488/AL
20493150,ORM - Carmo Apartment,19887538,Oporto Rental Management,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14777,-8.61528,Entire home/apt,75,1,116,2022-09-02,1.88,40,323,33,54196/AL
20247824,NEW!! - Porto Wine Cellars,144262852,Joaquim,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13644,-8.62471,Entire home/apt,32,2,34,2020-02-27,0.55,1,0,0,47460/AL
20493273,Oporto Cosy Apartment at Alegria,141661993,Ferry,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15194,-8.60424,Entire home/apt,39,3,140,2022-09-05,2.29,1,60,24,55294/AL
20249067,8º | Sá da Bandeira,63565731,Luís,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15165,-8.60689,Entire home/apt,174,1,259,2022-09-12,4.18,27,324,65,53827/AL
20501551,Porto Ramada Alta - Parking included,132367971,José,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16052,-8.6223,Entire home/apt,99,4,72,2022-08-09,1.19,2,163,9,50194/AL
20512985,Apartment  Rustic Balcony T1  Oporto,112414441,Apartment Rustic Oporto,PORTO,Bonfim,41.146,-8.59068,Entire home/apt,42,3,3,2018-09-14,0.05,3,297,0,57429/AL
20253196,Cosy Apartment downtown,144328819,Renato,PORTO,Paranhos,41.16316,-8.60495,Entire home/apt,40,1,17,2018-08-16,0.31,1,0,0,
20516952,Quarto Caracas a Ver-o-Mar (clipovoa),133710966,Susana,PÓVOA DE VARZIM,"AVer-o-Mar, Amorim e Terroso",41.39446,-8.76289,Private room,14,2,30,2021-09-29,0.49,1,0,1,
20253442,57,144328996,57,PORTO,Bonfim,41.1442,-8.59706,Entire home/apt,130,2,13,2019-07-14,0.22,1,54,0,56101/AL
20521124,AM Porto Villa,146407286,Alex,GONDOMAR,Foz do Sousa e Covelo,41.08895,-8.51346,Entire home/apt,142,1,1,2017-10-15,0.02,1,365,0,
20521331,Friend's House,50125900,Roberto,MAIA,Pedrouços,41.19004,-8.59515,Private room,20,1,1,2017-08-23,0.02,2,0,0,
20522857,FLH Porto Bright Flat,3953109,Feels Like Home,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14457,-8.61126,Entire home/apt,165,1,16,2022-07-18,0.29,87,286,7,55320/AL
20254027,GuestReady Mushroom,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15444,-8.60895,Entire home/apt,30,1,223,2022-08-28,3.60,218,233,39,48382/AL
20523462,GuestReady Gemini Apartment,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15376,-8.60964,Entire home/apt,34,1,192,2022-09-09,3.12,218,324,25,54455/AL
20255522,Metro Apartment(subway 30 meters/ direct airport),132525392,Fernando,PORTO,Bonfim,41.148766,-8.597802,Entire home/apt,124,1,214,2022-09-10,3.68,1,119,51,60288/AL
