id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20480198,Casa de São João,146202861,Casa De São João,VALE DE CAMBRA,Arões,40.78164,-8.2434,Entire home/apt,150,1,4,2021-08-14,0.07,1,164,2,
52337524,Detached Guest House in Luxury Villa with Pool,423414022,Eduardo,TROFA,Bougado (São Martinho e Santiago),41.34749,-8.56984,Entire home/apt,100,2,2,2022-06-04,2,1,339,2,13286/AL
18616304,Rustic house by the beach,129318702,Cecília,ESPINHO,Paramos,40.962,-8.65137,Entire home/apt,110,5,30,2021-08-21,0.51,1,57,2,56289/AL
49499436,Moradia geminada moderna a 2m da praia,399215419,Fernando,ESPINHO,Paramos,40.95583,-8.65506,Entire home/apt,90,7,0,,,1,64,0,115355/AL
596254806601732230,"The Shore @ Atlantic Beachfront - Patio, Tiny Pool",131440428,Elisa & André,ESPINHO,Espinho,41.00201,-8.64707,Entire home/apt,134,4,3,2022-05-31,2.20,3,291,3,123474/AL
44747911,Enjoy Esmoriz [E1] Beach & Surf Apartment,49655325,Elísio,ESPINHO,Paramos,40.956676,-8.653104,Entire home/apt,120,2,5,2022-05-29,0.48,5,314,5,113877/AL
1015328,Chalet Beach Front House,3154225,Paulo,ESPINHO,Paramos,40.9628,-8.65159,Entire home/apt,165,5,55,2021-08-19,0.52,3,207,1,48596/AL
21431787,"House with pool ""FAIA HOUSE"" - AVEIRO (Estarreja)",155354920,Helena,OLIVEIRA DE AZEMÉIS,Loureiro,40.80725,-8.56762,Entire home/apt,133,5,15,2021-10-22,0.32,1,290,4,64265/AL
23601122,Appartement confortable sur front de mer d'Esmoriz,36346783,Guillaume,ESPINHO,Paramos,40.95677,-8.65372,Entire home/apt,70,7,5,2022-05-26,0.11,1,100,4,69834/AL
20033432,Casa na Praia - Com piscina e a 2o kms do Porto,120597600,Miquelina,ESPINHO,Paramos,40.95434,-8.64936,Entire home/apt,177,2,32,2022-05-13,0.55,1,291,1,52924/AL
12831752,Appartement F2 ready to beach/Porto/Casino Espinho,62809838,Johnny Gil,ESPINHO,Paramos,40.96246,-8.62814,Entire home/apt,36,2,39,2022-04-24,0.55,1,294,6,55201
11984291,Monastery's House,34894796,Leonor,SANTO TIRSO,"Areias, Sequeiró, Lama e Palmeira",41.37972,-8.46316,Entire home/apt,55,3,9,2021-08-28,0.13,1,343,2,
28752667,Apartamento T3 Apuliamar,216866799,Diane,PÓVOA DE VARZIM,Estela,41.48372,-8.77501,Entire home/apt,100,2,10,2021-09-14,0.29,1,319,8,Exempt
28638158,Eco House @ XVIII century eco-farm,172824034,Quinta,OLIVEIRA DE AZEMÉIS,"Pinheiro da Bemposta, Travanca e Palmaz",40.76244,-8.47536,Entire home/apt,130,2,3,2022-05-01,0.09,6,316,2,Exempt
581207712262075971,Great Villa close to Vila do Conde,88204895,Tomas,PÓVOA DE VARZIM,Balazar,41.41562,-8.61766,Entire home/apt,509,1,0,,,21,159,0,13286/AL
45982856,Vila,212602906,Casa,PÓVOA DE VARZIM,Balazar,41.41921,-8.5896,Entire home/apt,300,1,1,2021-03-27,0.07,1,365,0,112037/AL
51316295,"Bed in Shared Room, Oporto Surf Camp, near beach",73930531,Katrijn,ESPINHO,Paramos,40.95582,-8.65258,Shared room,25,2,2,2022-04-16,0.95,1,303,2,19331/AL
28385673,Casa da Calçada - a 10min dos Passadiços do Paiva,214261460,Laura Barroso,AROUCA,Canelas e Espiunca,41.02672,-8.21467,Entire home/apt,185,1,39,2021-10-24,0.87,1,259,8,82331/AL
14563383,Magnifique Loft-Villa face à la mer,21306137,Virginie,PÓVOA DE VARZIM,Estela,41.48577,-8.76301,Entire home/apt,130,7,17,2021-08-23,0.28,1,111,2,
45654368,Oktavihu House,369849427,Octávio,PÓVOA DE VARZIM,Balazar,41.41668,-8.59146,Private room,40,1,1,2022-05-29,1,1,335,1,123195/AL
583970619229629090,Behappy Lodge & Brunch - Suite Dupla,402913437,Francisca,ESPINHO,Paramos,40.95273,-8.65467,Private room,70,1,1,2022-04-23,0.61,5,310,1,115794/AL
583978419564856179,Behappy Lodge & Brunch - Suite Dupla,402913437,Francisca,ESPINHO,Paramos,40.9542,-8.65583,Private room,70,1,4,2022-05-28,1.85,5,332,4,115794/AL
42323284,Double Bed in B&B Ocean Breeze near Porto,269082250,Miguel,ESPINHO,Paramos,40.96307,-8.6252,Private room,45,2,0,,,6,267,0,107172/AL
50717129,Maison familiale à 500 M de la plage.,333266646,Sandra,ESPINHO,Paramos,40.95514,-8.64809,Private room,100,7,3,2021-08-09,0.28,1,365,3,Exempt
1636485,"Quinta Tapado João em Lourizela, Sever do Vouga.",8691448,Joana,VALE DE CAMBRA,Arões,40.75722,-8.29151,Entire home/apt,80,3,42,2022-05-15,0.50,1,283,16,
52319707,Solar da Saudade Quarto duplo Preto,277838498,Daniel,SANTO TIRSO,"Areias, Sequeiró, Lama e Palmeira",41.37635,-8.46763,Private room,40,2,0,,,2,242,0,3643921
25292546,Casa Amarela II,184844096,Libania,ESPINHO,Paramos,40.9546,-8.64424,Private room,35,2,28,2021-09-14,0.57,2,316,3,Exempt
